event	weight	X(3872)_re	X(3872)_im	X(3915)(0-)_re	X(3915)(0-)_im	chi(c2)(3930)_re	chi(c2)(3930)_im	X(3940)(1.)_re	X(3940)(1.)_im	X(3993)_re	X(3993)_im	Psi(4040)_re	Psi(4040)_im	X(4300)_re	X(4300)_im	NR(0-)SPp_re	NR(0-)SPp_im	NR(1.)PSp_re	NR(1.)PSp_im	NR(0-)SPm_re	NR(0-)SPm_im	NR(1-)PPm_re	NR(1-)PPm_im	X0(2900)_re	X0(2900)_im	X1(2900)_re	X1(2900)_im	total_re	total_im
31	4.010809632079943	0.0325180153960032	-0.024337509209606513	-0.00777917686796233	0.022429936490539582	-0.0015506277867655797	0.00228234672378709	0.00802911201627062	-0.03356596137765192	-0.01691294006036831	-0.006602244426589025	-0.007010344703206777	-0.0007944199537981165	0.01347176364836202	0.0029871919377673028	0.07191601361761736	-0.23024891893586247	0.29125569161616033	0.014994802945868545	-0.05001157067184598	-0.0002759102725091971	0.04144326020767823	0.10668435650574459	0.03240503803963709	0.010225418738220077	-0.010674330357297788	0.028700105593824615	0.39709990409428203	-0.10752080524026543
32	3.78727990605027	0.2624668176477613	-0.1657517347206385	0.033901870573151964	0.08741049796549229	0.020241271241755905	-0.04205021195258032	-0.24593399578251346	-0.3500010377291487	-0.008865590003541396	0.5223141103721665	-0.11071808966442845	-0.13875762457751264	-0.0179731921422106	-0.007243846617068783	0.05477310264696994	0.04352447126442172	0.3543066232940028	0.018240872716441953	-0.0277712846977098	-0.00015321219921591358	-0.08128125529628019	-0.2092363963117031	0.03264890452417518	0.002461950769901709	0.012688505445320365	-0.03975299541747315	0.27848368778645355	-0.27899515643691697
33	4.593162277933692	0.05262725790894429	-0.05795493165499434	0.0016105149427225007	-0.005765580007385697	-0.0032655971200009413	0.0053884018436495705	0.007250197258812638	-0.06254797980460333	-0.01743734067925241	-0.00864576877521877	0.007882401781709793	0.000637468584952647	0.03435740875935003	0.005039006314722642	-0.028923860043395883	0.02959814665112934	0.3298782225051795	0.01698321813095202	0.01004650017879064	5.5425825761042985e-5	-0.034638760553441776	-0.08916803024863984	-0.01683557108652659	-0.004742966642359707	0.002485016407026348	-0.015158898739722178	0.34503639025991817	-0.1862824885217566
34	4.268352562297665	0.003839073608080841	0.06948812453745051	0.010161921152249885	-0.046175203587171636	0.017190257710310207	-0.030961749366868244	0.015952671125108932	0.02406599952385452	-0.049871488817383375	-0.007842098251109488	-0.03442635173867071	-0.0015871692302681219	-0.019041512890777497	0.002236659505713375	-0.21527279520094678	0.11066181452190867	0.16197109202822263	0.008338805653594239	0.06545348429637077	0.00036110220987429603	0.11581358351655753	0.2981304455820571	-0.04724316355605473	-0.01400783879553326	-1.202163831614915e-5	0.030757746642331003	0.02451474959475155	0.44346663894583294
35	3.5196054183640593	-0.26419070469729933	-0.29162992550232436	0.1500004011939384	-0.11527539609839134	-0.03587902212036713	0.011489391921505608	0.032032621513046006	0.012958616430033832	-0.05211979125493844	-0.028261447248714565	0.015254719325594713	0.004378225093453341	0.0008889471106456371	0.0004805980585581736	0.03324385377264222	0.04645788985613038	-0.08618162288251091	-0.004436913989586408	-0.02489150155051962	-0.00013732464075224917	0.01991793150748345	0.05127327568229488	-0.02638342655731218	-0.0012211069338723846	0.0003796166546379716	0.06836038908659246	-0.23792797798495918	-0.2455637282850726
36	4.045287347240095	0.04255550231370918	0.056813558290704926	0.011772577887552224	-0.06410598764873825	0.003098518475289349	-0.005848618274312248	0.025943012811093905	-0.011831997276707777	-0.08691409956436871	-0.016484436313347107	-0.006318990306382112	-0.00013067200695893768	0.026976381241421994	-0.0038312850920870327	-0.2679404046500349	0.08589930769188345	0.37225796799201116	0.019165067106829147	0.08039833260737124	0.00044355187331624114	0.017953470747246927	0.0462163078897902	-0.073699603729743	-0.02302290243608361	-0.02252745919855513	0.04845099495860284	0.12355520662661214	0.13173288876289185
37	3.2727258406610056	0.026040356671743523	-0.019169805122285867	-0.0014696355714003619	0.005472929922260326	0.006645669634997985	-0.011152987079579811	0.005258002003854774	-0.027312904663602044	-0.014686754041673406	-0.005282878491035698	0.008539436535499064	0.0006407866244064938	0.016424387337995335	0.002303555807881905	0.02750888873512675	-0.024744529615666262	0.17893101807019698	0.009211958543979848	-0.009178063893123563	-5.063472464151413e-5	-0.03576266714693622	-0.09206122086874709	0.005236317067980909	-0.0006122035670831433	0.027604150295815155	0.020230172831043246	0.24109110570007697	-0.14252776040306958
38	4.6431536528996284	-0.02013602437769648	0.2693600626375137	0.009453242163839238	0.14238954776644988	0.01530950943263007	-0.03357614942830529	0.09320464147515528	0.12592105421809957	-0.26220758260465765	0.02847642243579719	0.05235587880956661	-0.021129779639803278	0.020996172046629003	0.007744006072728434	0.22048697955187058	0.08585443001131865	0.15937553682878447	0.008205177917309545	-0.08494324347736004	-0.0004686258228007862	-0.041523868227200375	-0.10689185984039608	-0.04350431535858586	-0.004478797115897912	0.007648180789548849	-0.01688107143026097	0.1265151070525237	0.4845244177817527
39	3.2525706761757402	-0.06763508109210184	0.06345289498770222	0.005357096965286704	-0.03840937097325308	-0.005524918079493768	0.010949992794600653	-0.004497229385704547	0.08016783817652026	0.03478917383128193	0.012171527916853237	-0.050910643552429774	0.0008057527039661523	0.04508228021133536	0.1595116652084643	-0.13651905606642536	0.019080411793851525	-0.28523464797271186	-0.014684819774514874	0.04171416507721307	0.0002301340769612479	0.11714274014484234	0.3015519963691653	0.040990500737511364	-0.014596477106796511	-0.0676273193761281	0.038254111359219065	-0.33287293855752453	0.6184856575327395
40	3.2660199504688348	0.027086712871430642	-0.06724993545181564	0.004064419208052884	-0.015412549529841968	0.011467135217721828	-0.01938790597967572	-0.00399966329538947	-0.04695765313263342	0.014462157279898151	-0.0005521932359027221	0.01594363239759322	0.001153837695604236	0.02760002449281186	0.002641017107837613	-0.0773174422338411	0.06574627190819732	0.07762915984491743	0.003996605004587941	0.025411228804055507	0.00014019193898398157	-0.06534780504496689	-0.16822007958228896	0.07794665775755305	-0.011344904752825886	0.1306912201503294	0.14976978830848997	0.26563743745016655	-0.10567750970128326
41	3.260894257766553	0.034796792837293096	-0.027346461801091945	-0.006677607019396657	0.11065002068793198	-0.0001470964893868103	0.0003106032817539002	0.0012274320619377107	-0.04114568634204194	-0.025046486550251854	-0.0062597817838116335	-0.0063195296602064745	0.0006646194785764512	-0.01745266634693885	-0.011005840196819182	0.28484963049467626	0.03006330920182052	0.12152792359114468	0.006256658046948443	-0.09405897185708177	-0.000518916646855723	0.009769870940314547	0.02514986488004447	-0.16936101631420908	0.030217361040003367	0.06559516785758432	0.0877359544704823	0.1987034435454791	0.204771704316941
42	3.4772371190127904	0.04143389698739694	-0.1720693057365641	0.001177404570258155	0.06749447439444559	-0.03267509210457981	0.07122147566925242	-0.047000750458203795	-0.10682855464001907	0.10098760072864077	-0.00909394720529779	0.09283459441800043	-0.02320660883066001	-0.02362852299120908	-0.010248926811926958	0.126379805128176	0.03681569978017468	-0.01499866345178354	-0.0007721806281721981	-0.04588576298040504	-0.0002531484854032615	-0.09493207664274303	-0.24437670824238591	0.051538180233865534	0.023948592720556418	0.0331729423479974	-0.07560432095292169	0.1884035557854109	-0.4429734589689219
43	4.311652140680895	0.03457248289173435	0.10068794014898139	-0.005568605633213223	0.060990719434325436	-0.01936488851890143	0.04004034379539817	0.035482470097587114	0.00972521461664651	-0.12372666971803761	-0.014349871367428463	-0.0351611874060302	0.0023042233514958105	0.005705190423778462	8.646282157292258e-5	0.17850348430000976	0.0032566890373617627	0.2967099666672232	0.01527560700208949	-0.05694531702758351	-0.0003141632571849647	0.06371180775143312	0.16400865129138792	-0.019452128861778648	-0.0018776907519808146	-0.006438028294219696	-0.028449755309644317	0.34802857667200165	0.3513843708130208
44	3.3855725928645004	0.032123114659632836	-0.029802017639000228	-0.0030443930200190327	0.010787842261843353	-0.009474390339839494	0.01556192610547935	0.005568403438914531	-0.035966974228786974	-0.014067825347951425	-0.00587040862076877	-0.03087052288322314	-0.002543434353358301	0.019554093115324335	0.003039700895222548	0.05400073003859663	-0.05723920201637218	0.21655140374654958	0.011148779990572937	-0.018991277767762604	-0.00010477352648216331	0.13740115347324047	0.35370174952413397	0.013495295300245925	0.0081642931652611	0.036382642264706104	0.006560199741074554	0.4386284266784147	0.2774376812988192
